year,POP,scenario
2020,3.9111211294699704,Trend
2025,4.287811013100482,Trend
2030,4.528879242722924,Trend
2035,4.785758303417211,Trend
2040,5.06897671245962,Trend
2045,5.401054580590116,Trend
2020,3.9111211294699704,TOD
2025,5.550748185136022,TOD
2030,6.891196850675034,TOD
2035,8.299648849349829,TOD
2040,9.860673224620411,TOD
2045,11.65990660135058,TOD
