year,DU,scenario
2020,2.0129053229815828,Trend
2025,2.2311042549280655,Trend
2030,2.3592208183477146,Trend
2035,2.4954003681587382,Trend
2040,2.646232994010532,Trend
2045,2.8179043552380554,Trend
2020,2.0129053229815828,TOD
2025,2.895951766684401,TOD
2030,3.4934974039000566,TOD
2035,4.120650606847434,TOD
2040,4.817380390914494,TOD
2045,5.619913448600905,TOD
